 TIME                    	Tair                     	Tsky                     	I                        	Ib                       	Id                       	It                       	Vent                     	humidity                 	
  +1.0000000000000000E+00	  +1.4000000000000001E+00	  -1.0011625377416976E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.8000000000000003E+00	  +8.2000000000000000E+01	
  +2.0000000000000000E+00	  +1.3000000000000000E+00	  -1.0186328333139784E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.5500000000000003E+00	  +8.2000000000000000E+01	
  +3.0000000000000000E+00	  +1.0500000000000000E+00	  -1.0549121986656814E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2000000000000002E+00	  +8.2500000000000000E+01	
  +4.0000000000000000E+00	  +8.0000000000000004E-01	  -1.0927127592488546E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2000000000000002E+00	  +8.3500000000000000E+01	
  +5.0000000000000000E+00	  +5.5000000000000004E-01	  -1.1312583182691469E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3000000000000003E+00	  +8.4500000000000000E+01	
  +6.0000000000000000E+00	  +3.0000000000000004E-01	  -1.1707865122536361E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.4000000000000004E+00	  +8.6000000000000000E+01	
  +7.0000000000000000E+00	  +5.0000000000000003E-02	  -1.2103125804204581E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3500000000000001E+00	  +8.7500000000000000E+01	
  +8.0000000000000000E+00	  -2.0000000000000001E-01	  -1.2476992956516710E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.5500000000000003E+00	  +8.8500000000000000E+01	
  +9.0000000000000000E+00	  +7.0000000000000007E-01	  -1.1676005364354126E+01	  +1.8359999999999999E+02	  +1.8004646193250156E+01	  +1.6559535380674984E+02	  +2.5679761772579678E+02	  +2.7000000000000002E+00	  +8.4500000000000000E+01	
  +1.0000000000000000E+01	  +2.3000000000000003E+00	  -1.0155980751764389E+01	  +4.0319999999999999E+02	  +5.0285729167764892E+01	  +3.5291427083223510E+02	  +5.1393214423564200E+02	  +3.2000000000000002E+00	  +7.7500000000000000E+01	
  +1.1000000000000000E+01	  +3.5000000000000000E+00	  -9.0194597866753838E+00	  +5.9760000000000002E+02	  +1.0688483868083591E+02	  +4.9071516131916411E+02	  +7.9859319168865898E+02	  +3.7000000000000002E+00	  +7.2500000000000000E+01	
  +1.2000000000000000E+01	  +4.8500000000000005E+00	  -9.9342672811662283E+00	  +9.2520000000000005E+02	  +4.0542484648082342E+02	  +5.1977515351917668E+02	  +1.7137853561385602E+03	  +3.4000000000000004E+00	  +6.7000000000000000E+01	
  +1.3000000000000000E+01	  +6.1000000000000005E+00	  -1.0990497289107395E+01	  +9.5760000000000002E+02	  +4.6400267533748678E+02	  +4.9359732466251324E+02	  +1.8614995761192420E+03	  +3.5000000000000000E+00	  +6.2000000000000000E+01	
  +1.4000000000000000E+01	  +6.6000000000000005E+00	  -9.3070778199009965E+00	  +6.0120000000000005E+02	  +1.1627844711598148E+02	  +4.8492155288401858E+02	  +8.2803527862031535E+02	  +3.9500000000000002E+00	  +5.9500000000000000E+01	
  +1.5000000000000000E+01	  +6.2500000000000000E+00	  -7.3355760509307970E+00	  +3.4919999999999999E+02	  +2.3776427569214629E+01	  +3.2542357243078538E+02	  +3.8794251323824506E+02	  +3.9500000000000002E+00	  +5.9500000000000000E+01	
  +1.6000000000000000E+01	  +5.5000000000000000E+00	  -6.9152653164971412E+00	  +2.0880000000000001E+02	  +5.1394749454724980E+01	  +1.5740525054527504E+02	  +4.7380024093406121E+02	  +4.2999999999999998E+00	  +6.1000000000000000E+01	
